lat	created_on	lon	category	name	id	geolocation_degrees
39.2615749	1386794770	-121.0165666	"default"	"SierraHosts.net"	8	"121°0'59.64\"W, 39°15'41.67\"N"
39.7146512	1389447527	-104.9362682	"default"	"Costa Rica Travel Market LLC"	10	"104°56'10.57\"W, 39°42'52.74\"N"
42.3626795	1409879886	-71.0863982	"shopping"	"MIT Coop"	12	"71°5'11.03\"W, 42°21'45.65\"N"
37.7705183	1385666967	-122.4504132	"default"	"Deborah Hodgson Vamp Couture"	6	"122°27'1.49\"W, 37°46'13.87\"N"
40.75256441713878	1465956215	-86.34662747383118	"shopping"	"Stack-Tech Computer Repair"	8226	"86°20'47.86\"W, 40°45'9.23\"N"
37.9580745	1399646864	-122.499287	"cafe"	"Nova Rosti"	3928	"122°29'57.43\"W, 37°57'29.07\"N"
39.9863889	1386095442	-83.0055556	"default"	"Columbus Worship Center"	50	"83°0'20.0\"W, 39°59'11.0\"N"
41.4047222	1383436754	-74.325	"default"	"Saint John The Evangelist Roman Catholic Church"	51	"74°19'30.0\"W, 41°24'17.0\"N"
30.4094827	1385449366	-91.0684555	"default"	"Dezins Interactive"	52	"91°4'6.44\"W, 30°24'34.14\"N"
38.9859	1385566742	-94.8606	"default"	"Mill Creek Community Church"	53	"94°51'38.16\"W, 38°59'9.24\"N"
33.608786	1385055371	-117.7114158	"default"	"Color-Glide ColorGlidePro.com - paint brush replacement  product"	54	"117°42'41.1\"W, 33°36'31.63\"N"
27.773935	1408723158	-82.6305988	"attraction"	"Saint Petersburg Museum of History"	55	"82°37'50.16\"W, 27°46'26.17\"N"
29.5241688	1397232908	-98.5687186	"default"	"Law Office of Michael McLees"	56	"98°34'7.39\"W, 29°31'27.01\"N"
37.7949855	1409361742	-122.4234775	"shopping"	"Laundry Locker Kiosk"	60	"122°25'24.52\"W, 37°47'41.95\"N"
37.7678512	1420665190	-122.4223164	"shopping"	"Skunk Funk"	65	"122°25'20.34\"W, 37°46'4.26\"N"
37.7882789	1420762098	-122.4461924	"default"	"Pet Camp Cat Safari"	48	"122°26'46.29\"W, 37°47'17.8\"N"
37.5555738	1420753066	-122.318096	"shopping"	"Cyclepath"	73	"122°19'5.15\"W, 37°33'20.07\"N"
35.2743463	1405452629	-80.8215111	"default"	"iTek Graphics"	76	"80°49'17.44\"W, 35°16'27.65\"N"
28.333289	1401472311	-80.611025	"food"	"Saim Orchid Japanese Restaraunt"	79	"80°36'39.69\"W, 28°19'59.84\"N"
30.2967459	1397301102	-97.7416594	"food"	"Thai Kitchen"	82	"97°44'29.97\"W, 30°17'48.29\"N"
40.6873932	1429857148	-73.9692312	"shopping"	"Brooklyn Flea"	84	"73°58'9.23\"W, 40°41'14.62\"N"
32.94998	1392330055	-117.227693	"default"	"DiegoDev Group"	95	"117°13'39.69\"W, 32°56'59.93\"N"
33.1967248	1386790407	-117.3788832	"default"	"Ares Armor"	96	"117°22'43.98\"W, 33°11'48.21\"N"
33.164004	1388298618	-117.348439	"default"	"Heritage Senior Care"	97	"117°20'54.38\"W, 33°9'50.41\"N"
32.76434	1398989281	-117.188709	"default"	"Invincible Creative"	98	"117°11'19.35\"W, 32°45'51.62\"N"
32.7959837	1386205120	-117.2529544	"default"	"Villalobos SD"	99	"117°15'10.64\"W, 32°47'45.54\"N"
32.799441	1413057081	-117.243776	"default"	"Computer and Ink Store"	101	"117°14'37.59\"W, 32°47'57.99\"N"
33.1471342	1386206225	-117.2003136	"default"	"San Marcos Dental Center"	102	"117°12'1.13\"W, 33°8'49.68\"N"
39.1922528	1395401212	-96.6091199	"food"	"Chens Hunam Chinese Restaurant"	124	"96°36'32.83\"W, 39°11'32.11\"N"
30.5499212	1397418338	-97.8533226	"food"	"Great Wall Express"	94	"97°51'11.96\"W, 30°32'59.72\"N"
27.777371	1418692590	-82.631548	"food"	"400 Beach Seafood"	145	"82°37'53.57\"W, 27°46'38.54\"N"
27.7709052	1408767986	-82.6523574	"food"	"Ferg's Sports Bar & Grill"	146	"82°39'8.49\"W, 27°46'15.26\"N"
39.3475198	1396080298	-76.4505536	"food"	"Mama Rosa Rotisserie & Grill"	154	"76°27'1.99\"W, 39°20'51.07\"N"
40.9076669	1394677112	-74.5519558	"shopping"	"Macy's"	159	"74°33'7.04\"W, 40°54'27.6\"N"
40.9073762	1394676758	-74.5552585	"shopping"	"Lord & Taylor"	160	"74°33'18.93\"W, 40°54'26.55\"N"
28.1000502	1395115329	-82.3995584	"food"	"China City"	165	"82°23'58.41\"W, 28°6'0.18\"N"
47.6648179	1397057901	-122.2958156	"shopping"	"Counterbalance Bicycles"	171	"122°17'44.94\"W, 47°39'53.34\"N"
32.7478087	1402005836	-117.1297638	"nightlife"	"Rooted Kava Bar"	131	"117°7'47.15\"W, 32°44'52.11\"N"
37.7937071	1365922552	-122.4042094	"lodging"	"Pacific Tradewinds Hostel"	180	"122°24'15.15\"W, 37°47'37.35\"N"
30.3958149	1397269594	-97.7196383	"food"	"Bamboo Bistro North"	183	"97°43'10.7\"W, 30°23'44.93\"N"
30.3986564	1397272545	-97.7474271	"food"	"Bombay Bistro"	185	"97°44'50.74\"W, 30°23'55.16\"N"
27.773918	1416843973	-82.633613	"food"	"The Ale and the Witch"	194	"82°38'1.01\"W, 27°46'26.1\"N"
39.0408505	1396332282	-94.4175927	"food"	"King Wok"	199	"94°25'3.33\"W, 39°2'27.06\"N"
39.0402008	1396333406	-94.4160484	"food"	"Mama Garden"	201	"94°24'57.77\"W, 39°2'24.72\"N"
39.9991059	1413064829	-105.2539748	"food"	"Moe's Original Bar B Que"	177	"105°15'14.31\"W, 39°59'56.78\"N"
42.6402694	1402449591	-73.784384	"default"	"Organica: Garden Supply & Hydroponics"	219	"73°47'3.78\"W, 42°38'24.97\"N"
37.4269015	1415410545	-122.1479633	"default"	"Red Door Movie Rental"	221	"122°8'52.67\"W, 37°25'36.85\"N"
35.1907704	1378422981	-106.5321456	"default"	"Sunlight Homes"	638	"106°31'55.72\"W, 35°11'26.77\"N"
42.3636635	1367401404	-71.1011293	"food"	"VeggieGalaxy"	222	"71°6'4.07\"W, 42°21'49.19\"N"
39.9724031	1418872293	-75.1345113	"shopping"	"The Bicycle Stable"	226	"75°8'4.24\"W, 39°58'20.65\"N"
30.2689156	1397301292	-97.7428345	"food"	"Thai Passion - Downtown"	227	"97°44'34.2\"W, 30°16'8.1\"N"
39.1850563	1395400820	-96.5740607	"food"	"Green Tea Sushi Bar"	228	"96°34'26.62\"W, 39°11'6.2\"N"
35.572302	1388651481	-121.1120376	"lodging"	"Mariner's Inn"	230	"121°6'43.34\"W, 35°34'20.29\"N"
43.1550576	1388441567	-77.6189344	"default"	"Netsville"	232	"77°37'8.16\"W, 43°9'18.21\"N"
45.6723056	1383176751	-111.0740236	"shopping"	"Rooks Comics and Games"	242	"111°4'26.48\"W, 45°40'20.3\"N"
40.7616461	1389025552	-111.8885341	"food"	"Pie Hole"	244	"111°53'18.72\"W, 40°45'41.93\"N"
39.37734423141372	1655465662	-81.39889061450958	"atm"	"Bitcoin ATM"	477498	"81°23'56.01\"W, 39°22'38.44\"N"
39.7548245	1418083670	-104.9871359	"default"	"Unleaded Group"	247	"104°59'13.69\"W, 39°45'17.37\"N"
42.6540939	1392000270	-73.7504154	"cafe"	"The French Press Cafe & Creperie"	218	"73°45'1.5\"W, 42°39'14.74\"N"
37.7510094	1396010273	-97.2617458	"food"	"Two Brothers BBQ Woodlawn"	253	"97°15'42.28\"W, 37°45'3.63\"N"
30.3578376	1397299467	-97.7329828	"food"	"Pho Thaison Vietnamese Cuisine"	254	"97°43'58.74\"W, 30°21'28.22\"N"
39.9665561	1418872254	-75.1391589	"food"	"PYT"	264	"75°8'20.97\"W, 39°57'59.6\"N"
37.4855589	1419672706	-122.2264733	"default"	"It Is Vapor"	266	"122°13'35.3\"W, 37°29'8.01\"N"
42.3636159	1399490129	-71.1010542	"food"	"Moksa"	269	"71°6'3.8\"W, 42°21'49.02\"N"
42.9630238	1393649512	-85.6645169	"food"	"One Stop Coney Shop"	273	"85°39'52.26\"W, 42°57'46.89\"N"
30.4287281	1397296997	-97.7504309	"cafe"	"Minh's Cafe"	278	"97°45'1.55\"W, 30°25'43.42\"N"
40.7389191	1385489709	-73.9907073	"default"	"Steve Alper DMD"	282	"73°59'26.55\"W, 40°44'20.11\"N"
26.6428482	1393078866	-81.86325	"food"	"ZCrêpes Café"	288	"81°51'47.7\"W, 26°38'34.25\"N"
40.5009856	1387380611	-74.6529196	"default"	"Bars 'N Beats Recording Studio"	292	"74°39'10.51\"W, 40°30'3.55\"N"
37.7720246	1365918799	-122.4092269	"grocery"	"Cups and Cakes Bakery"	296	"122°24'33.22\"W, 37°46'19.29\"N"
35.4950363	1397053676	-97.5317178	"food"	"Lido Asian Cuisine"	298	"97°31'54.18\"W, 35°29'42.13\"N"
35.2115934	1397052068	-97.4422524	"food"	"Padthai Thai Restaurant"	310	"97°26'32.11\"W, 35°12'41.74\"N"
41.2498239	1385474327	-96.0826749	"default"	"CoVis CoWorking"	311	"96°4'57.63\"W, 41°14'59.37\"N"
27.7713227	1418747200	-82.6473269	"default"	"Paper Street Market"	322	"82°38'50.38\"W, 27°46'16.76\"N"
35.0957414	1366300638	-106.658747	"default"	"New Mexico Tea Company"	303	"106°39'31.49\"W, 35°5'44.67\"N"
27.8668929	1395123772	-82.6450904	"food"	"Yummy Thai"	323	"82°38'42.33\"W, 27°52'0.81\"N"
39.0150333	1395823521	-95.7605191	"food"	"Oriental Express"	333	"95°45'37.87\"W, 39°0'54.12\"N"
39.0278373	1395821389	-95.7254529	"food"	"Asian Cafe"	334	"95°43'31.63\"W, 39°1'40.21\"N"
25.7805541	1390882878	-80.1309841	"lodging"	"Clevelander Hotel"	335	"80°7'51.54\"W, 25°46'49.99\"N"
39.8231819	1391293171	-75.8819666	"default"	"Penn Animal Hospital"	339	"75°52'55.08\"W, 39°49'23.45\"N"
38.5956986	1414224449	-121.3983679	"shopping"	"Arden Jewelers"	345	"121°23'54.12\"W, 38°35'44.51\"N"
27.7713544	1418225950	-82.6426345	"shopping"	"The Trunk Stylists"	349	"82°38'33.48\"W, 27°46'16.88\"N"
48.1148885	1411768866	-122.7567278	"shopping"	"The Broken Spoke"	353	"122°45'24.22\"W, 48°6'53.6\"N"
45.5046824	1383705816	-122.6421431	"cafe"	"Papa G's"	364	"122°38'31.72\"W, 45°30'16.86\"N"
32.0805836	1418404190	-81.0907363	"default"	"Anonymous Tattoo"	368	"81°5'26.65\"W, 32°4'50.1\"N"
39.1860273	1395399369	-96.5728488	"food"	"Bi Bim Bap Korean-Japanese Sushi Restaurant"	375	"96°34'22.26\"W, 39°11'9.7\"N"
41.1304234	1390642337	-81.5080686	"default"	"Underhill's Games"	343	"81°30'29.05\"W, 41°7'49.52\"N"
27.7712825	1418693474	-82.653952	"food"	"Brooklyn South"	373	"82°39'14.23\"W, 27°46'16.62\"N"
39.48895627531765	1655465796	-81.44284665584563	"atm"	"Bitcoin ATM"	477499	"81°26'34.25\"W, 39°29'20.24\"N"
27.771341	1416844255	-82.650522	"food"	"Ricky P's"	394	"82°39'1.88\"W, 27°46'16.83\"N"
40.7524774	1365972694	-73.984652	"nightlife"	"EVR NYC"	398	"73°59'4.75\"W, 40°45'8.92\"N"
36.1258841	1366040095	-115.2327178	"default"	"Vegas Budget Dental"	400	"115°13'57.78\"W, 36°7'33.18\"N"
38.9699111	1366214109	-94.6669718	"shopping"	"Overland Park Jeep Dodge Ram Chrysler"	405	"94°40'1.1\"W, 38°58'11.68\"N"
38.8558931	1366300019	-104.7132847	"default"	"Total Roofing"	406	"104°42'47.82\"W, 38°51'21.22\"N"
34.1643282	1366438893	-118.3740182	"default"	"Model Printing internet cafe"	408	"118°22'26.47\"W, 34°9'51.58\"N"
37.3780322	1386553782	-122.0328367	"default"	"Mac's Coins & Collectables"	380	"122°1'58.21\"W, 37°22'40.92\"N"
41.5008146	1397050219	-81.5652517	"food"	"Parnell's Pub"	409	"81°33'54.91\"W, 41°30'2.93\"N"
40.7954798	1366642103	-85.8241762	"default"	"INGUARD"	411	"85°49'27.03\"W, 40°47'43.73\"N"
44.9277216	1401224144	-93.2238299	"grocery"	"Elevated Beer Wine & Spirits"	412	"93°13'25.79\"W, 44°55'39.8\"N"
39.7961477	1366643318	-86.02414	"default"	"Caring Dentists"	413	"86°1'26.9\"W, 39°47'46.13\"N"
38.4147973	1367185598	-79.5848885	"lodging"	"Arbogast Inn"	415	"79°35'5.6\"W, 38°24'53.27\"N"
38.9625124	1366822264	-94.8917005	"sports"	"Peeper Ranch"	418	"94°53'30.12\"W, 38°57'45.04\"N"
38.1098063	1367179666	-122.2629487	"shopping"	"Cyber Computers"	419	"122°15'46.62\"W, 38°6'35.3\"N"
35.0936542	1367164525	-106.6432031	"shopping"	"ABQBitcoins"	420	"106°38'35.53\"W, 35°5'37.16\"N"
29.7633158	1367259280	-95.3602521	"default"	"Jay Cohen Attorney"	422	"95°21'36.91\"W, 29°45'47.94\"N"
39.9620241	1387380689	-75.1535149	"default"	"Hive76"	431	"75°9'12.65\"W, 39°57'43.29\"N"
42.0439539	1390153987	-87.6933691	"shopping"	"Bucephalus Bikes"	432	"87°41'36.13\"W, 42°2'38.23\"N"
28.2545197	1373977128	-82.4675148	"default"	"Accelerated Global - Website Design, SEO, Social Media, Internet Marketing"	435	"82°28'3.05\"W, 28°15'16.27\"N"
37.7949012	1368481112	-122.3928736	"shopping"	"Buyer's Best Friend Wholesale & Market"	438	"122°23'34.34\"W, 37°47'41.64\"N"
37.799094	1368481248	-122.4082139	"shopping"	"Mercato"	439	"122°24'29.57\"W, 37°47'56.74\"N"
40.2386813	1369783344	-74.254887	"default"	"Bear & Birch Russian Sauna"	448	"74°15'17.59\"W, 40°14'19.25\"N"
39.1257138	1395349473	-94.8266002	"food"	"Stix"	453	"94°49'35.76\"W, 39°7'32.57\"N"
37.7587119	1377973490	-122.4178384	"default"	"20mission Hacker Hotel"	585	"122°25'4.22\"W, 37°45'31.36\"N"
30.2822276	1367614340	-97.7422902	"shopping"	"Brave New Books"	426	"97°44'32.24\"W, 30°16'56.02\"N"
30.264266	1397296688	-97.741411	"food"	"Mai Thai"	456	"97°44'29.08\"W, 30°15'51.36\"N"
47.5542827	1374341558	-122.331924	"default"	"Accountable Moving & Storage"	465	"122°19'54.93\"W, 47°33'15.42\"N"
27.7713247	1415826389	-82.6477614	"cafe"	"Everything Dolce Cafe`"	472	"82°38'51.94\"W, 27°46'16.77\"N"
37.7895241	1372266792	-122.4077704	"default"	"My Doctor Medical Group"	478	"122°24'27.97\"W, 37°47'22.29\"N"
34.0685731	1372464468	-118.4054183	"default"	"Elite body sculpture"	480	"118°24'19.51\"W, 34°4'6.86\"N"
29.9010124	1373392340	-90.3866885	"default"	"Monti Notary Services, LLC"	492	"90°23'12.08\"W, 29°54'3.64\"N"
26.803033	1373391367	-80.076921	"default"	"Audio Props"	493	"80°4'36.92\"W, 26°48'10.92\"N"
40.7485331	1373458545	-73.9922549	"default"	"Nesenoff & Miltenberg LLP"	496	"73°59'32.12\"W, 40°44'54.72\"N"
28.3318001	1373559316	-82.6852635	"shopping"	"Heidi Jo's boutique"	501	"82°41'6.95\"W, 28°19'54.48\"N"
30.3546209	1397300183	-97.7563751	"food"	"Quizno's Far West"	468	"97°45'22.95\"W, 30°21'16.64\"N"
40.7255191	1373560860	-111.8746513	"food"	"Firehouse BBQ"	502	"111°52'28.74\"W, 40°43'31.87\"N"
33.7202935	1378894988	-117.7854931	"default"	"Triple Crown Transport"	645	"117°47'7.78\"W, 33°43'13.06\"N"
29.9552478	1375139572	-90.0671103	"shopping"	"David's Antiques"	523	"90°4'1.6\"W, 29°57'18.89\"N"
35.19452004059974	1609452309	-97.44496464729309	"default"	"Making The Impact LLC"	23696	"97°26'41.87\"W, 35°11'40.27\"N"
47.6097909	1376041173	-122.3366622	"shopping"	"Nesbit's Fine Watch Service"	529	"122°20'11.98\"W, 47°36'35.25\"N"
41.5070127	1375619023	-81.6910207	"nightlife"	"David's Grill & Bar"	540	"81°41'27.67\"W, 41°30'25.25\"N"
39.8297606	1377985120	-74.9784601	"default"	"Limousine Service - Ride a class"	597	"74°58'42.46\"W, 39°49'47.14\"N"
34.1680312	1374418283	-118.5993594	"shopping"	"Christopher Rütman HairStylist"	513	"118°35'57.69\"W, 34°10'4.91\"N"
41.8535316	1377191629	-87.6467139	"default"	"BooshWorks"	565	"87°38'48.17\"W, 41°51'12.71\"N"
40.2999382	1377198523	-111.6469702	"default"	"La Nay Ferme"	568	"111°38'49.09\"W, 40°17'59.78\"N"
43.6633694	1378340782	-111.3075235	"default"	"Luxury Vacation Cabin Rental"	583	"111°18'27.08\"W, 43°39'48.13\"N"
46.3206726	1376086979	-117.9788371	"food"	"Manila Bay Cafe"	557	"117°58'43.81\"W, 46°19'14.42\"N"
40.4982963	1377968284	-111.8846222	"shopping"	"Brothers Whim Bookstore"	584	"111°53'4.64\"W, 40°29'53.87\"N"
36.9824413	1377973896	-122.0385092	"default"	"The Santa Cruz Experience Wine Tour"	586	"122°2'18.63\"W, 36°58'56.79\"N"
36.0720711	1377974339	-115.2072063	"cafe"	"Café Berlin"	587	"115°12'25.94\"W, 36°4'19.46\"N"
34.1221138	1377975337	-118.2969126	"default"	"Dmitry Savchenko Art Photography"	588	"118°17'48.89\"W, 34°7'19.61\"N"
34.0932873	1377975747	-118.3780461	"default"	"Brain Guzzle Digital Marketing"	589	"118°22'40.97\"W, 34°5'35.83\"N"
34.1217773	1377976098	-118.2067935	"default"	"Mas Music Productions"	590	"118°12'24.46\"W, 34°7'18.4\"N"
32.7141993	1377976625	-117.1599549	"default"	"Logan Fairfax Law"	591	"117°9'35.84\"W, 32°42'51.12\"N"
37.0753235	1377981183	-95.7105846	"default"	"Lucid Guitar Studio Lessons (dvd, skype, guitar lessons)"	592	"95°42'38.1\"W, 37°4'31.16\"N"
35.7556774	1377981570	-95.4029606	"grocery"	"Alberty’s Broadway Liquor"	593	"95°24'10.66\"W, 35°45'20.44\"N"
30.6955212	1377983325	-91.4433462	"default"	"False River Fencing"	595	"91°26'36.05\"W, 30°41'43.88\"N"
39.165605	1377983699	-84.5411898	"default"	"E-Gov Link"	596	"84°32'28.28\"W, 39°9'56.18\"N"
28.5241431	1377985864	-81.3147606	"default"	"Dr. Murad Thakur"	598	"81°18'53.14\"W, 28°31'26.92\"N"
33.370125	1378130711	-79.152546	"default"	"Debordieu Beachfront Villa"	605	"79°9'9.17\"W, 33°22'12.45\"N"
47.8084569	1378155749	-122.2935987	"default"	"Wiki Speed"	628	"122°17'36.96\"W, 47°48'30.44\"N"
47.6069606	1378156054	-122.3332006	"default"	"Phillip Morgan Photography"	629	"122°19'59.52\"W, 47°36'25.06\"N"
45.5412826	1378156672	-122.6265672	"default"	"Siempre Beauty"	630	"122°37'35.64\"W, 45°32'28.62\"N"
37.79696	1378157242	-122.4021345	"default"	"Humble Bundle"	631	"122°24'7.68\"W, 37°47'49.06\"N"
37.3806428	1378157627	-121.9835014	"default"	"BitcoinStore.com"	632	"121°59'0.61\"W, 37°22'50.31\"N"
35.9992281	1382096936	-115.1040079	"food"	"Brooklyn Bagel Deli"	635	"115°6'14.43\"W, 35°59'57.22\"N"
39.0379364	1378340497	-80.4592545	"shopping"	"MountaineerIT"	603	"80°27'33.32\"W, 39°2'16.57\"N"
46.8707071	1378264914	-96.7938544	"default"	"XPI LLC"	636	"96°47'37.88\"W, 46°52'14.55\"N"
33.8601141	1378903012	-118.2892305	"default"	"Call The Ninja Computer Repair"	640	"118°17'21.23\"W, 33°51'36.41\"N"
33.6981497	1378660586	-117.8653959	"default"	"Luxury Living Direct"	641	"117°51'55.43\"W, 33°41'53.34\"N"
37.564246	1420754131	-122.3239197	"shopping"	"Edmond's Plaza Florist"	644	"122°19'26.11\"W, 37°33'51.29\"N"
34.1388967	1380322846	-118.7387041	"default"	"New Liberty Dollar"	658	"118°44'19.33\"W, 34°8'20.03\"N"
41.7693989	1379531784	-111.8040248	"default"	"Bees Brothers"	659	"111°48'14.49\"W, 41°46'9.84\"N"
40.2507868	1379532429	-111.6583936	"default"	"Sweet Burrito Provo"	660	"111°39'30.22\"W, 40°15'2.83\"N"
40.2339429	1379532711	-111.6589718	"default"	"Knives4Bitcoin"	661	"111°39'32.3\"W, 40°14'2.19\"N"
33.0618314	1379533365	-117.3015836	"default"	"Shatto & Sons Custom T-shirt Shop"	662	"117°18'5.7\"W, 33°3'42.59\"N"
41.1337479	1379620069	-104.8141159	"default"	"Agora Commodities"	666	"104°48'50.82\"W, 41°8'1.49\"N"
39.9074938	1379194803	-75.2231885	"default"	"C&E Auto Parts and Service, LLC"	651	"75°13'23.48\"W, 39°54'26.98\"N"
42.9123948	1379620316	-85.7563234	"default"	"Private Internet Access"	667	"85°45'22.76\"W, 42°54'44.62\"N"
35.4487922	1379620677	-89.8143662	"default"	"PheromoneXS"	668	"89°48'51.72\"W, 35°26'55.65\"N"
32.9991522	1379626806	-96.9629146	"default"	"The Vapor Station"	669	"96°57'46.49\"W, 32°59'56.95\"N"
42.399978	1379627371	-72.684656	"default"	"Grass Hill Alpaca Socks"	670	"72°41'4.76\"W, 42°23'59.92\"N"
40.9082058	1379627856	-73.9022156	"default"	"OK Cupid"	671	"73°54'7.98\"W, 40°54'29.54\"N"
40.8801074	1379694705	-73.8719703	"default"	"BitVPS"	672	"73°52'19.09\"W, 40°52'48.39\"N"
40.7154852	1379695028	-73.9899564	"default"	"Xcubicle"	673	"73°59'23.84\"W, 40°42'55.75\"N"
40.7144038	1379695191	-74.005943	"default"	"Techno Tourist"	674	"74°0'21.39\"W, 40°42'51.85\"N"
39.9903571	1379695988	-75.1651416	"default"	"Churrusco Shop"	675	"75°9'54.51\"W, 39°59'25.29\"N"
39.9893136	1379727538	-75.0969678	"default"	"Philadelphia Slick"	677	"75°5'49.08\"W, 39°59'21.53\"N"
36.1000126	1379727815	-80.2440421	"default"	"Lucid Guitar Studios"	678	"80°14'38.55\"W, 36°6'0.05\"N"
39.1012251	1379786322	-94.5787346	"default"	"Netsolus"	680	"94°34'43.44\"W, 39°6'4.41\"N"
40.6805896	1380322790	-73.8440086	"default"	"Puppy Paws"	687	"73°50'38.43\"W, 40°40'50.12\"N"
41.6630854	1397328911	-91.5317792	"food"	"Devotay"	690	"91°31'54.41\"W, 41°39'47.11\"N"
34.105369	1380986337	-118.3188971	"default"	"Rudimental Rentals"	723	"118°19'8.03\"W, 34°6'19.33\"N"
42.355516	1380310285	-71.0587849	"default"	"Free Software Foundation"	707	"71°3'31.63\"W, 42°21'19.86\"N"
38.661361	1393589688	-90.3241051	"default"	"Pomranka Media Group"	2978	"90°19'26.78\"W, 38°39'40.9\"N"
41.462479	1381521122	-71.3912112	"default"	"The Figure Ground Studio, LLC"	750	"71°23'28.36\"W, 41°27'44.92\"N"
40.6738326	1385815521	-73.9822047	"food"	"Aperitivo Cafe"	752	"73°58'55.94\"W, 40°40'25.8\"N"
40.6781573	1406960456	-73.9844338	"lodging"	"Holiday Inn Express Brooklyn"	753	"73°59'3.96\"W, 40°40'41.37\"N"
27.9581894	1382199460	-82.4401794	"default"	"Supreme Writing Service"	759	"82°26'24.65\"W, 27°57'29.48\"N"
36.1704451	1382097316	-115.141532	"default"	"SynShop Hackerspace"	768	"115°8'29.52\"W, 36°10'13.6\"N"
