lat	created_on	lon	category	name	id	geolocation_degrees	zip	address
39.2615749	1386794770	-121.0165666	"default"	"SierraHosts.net"	8	"121°0'59.64\"W, 39°15'41.67\"N"	95959	200 Sacramento St, Nevada City, CA 95959
39.7146512	1389447527	-104.9362682	"default"	"Costa Rica Travel Market LLC"	10	"104°56'10.57\"W, 39°42'52.74\"N"	80246	101 S Birch St, Denver, CO 80246
42.3626795	1409879886	-71.0863982	"shopping"	"MIT Coop"	12	"71°5'11.03\"W, 42°21'45.65\"N"	02142	325 Main St, Cambridge, MA 02142
37.7705183	1385666967	-122.4504132	"default"	"Deborah Hodgson Vamp Couture"	6	"122°27'1.49\"W, 37°46'13.87\"N"	94117	1792 Page St, San Francisco, CA 94117
40.75256441713878	1465956215	-86.34662747383118	"shopping"	"Stack-Tech Computer Repair"	8226	"86°20'47.86\"W, 40°45'9.23\"N"	46947	1631 Smead St, Logansport, IN 46947
37.9580745	1399646864	-122.499287	"cafe"	"Nova Rosti"	3928	"122°29'57.43\"W, 37°57'29.07\"N"	94901	3106 Kerner Blvd, San Rafael, CA 94901
39.9863889	1386095442	-83.0055556	"default"	"Columbus Worship Center"	50	"83°0'20.0\"W, 39°59'11.0\"N"	43201	1177 N High St, Columbus, OH 43201
41.4047222	1383436754	-74.325	"default"	"Saint John The Evangelist Roman Catholic Church"	51	"74°19'30.0\"W, 41°24'17.0\"N"	10924	43 Montgomery St, Goshen, NY 10924
30.4094827	1385449366	-91.0684555	"default"	"Dezins Interactive"	52	"91°4'6.44\"W, 30°24'34.14\"N"	70809	10311 Jefferson Hwy, Baton Rouge, LA 70809
38.9859	1385566742	-94.8606	"default"	"Mill Creek Community Church"	53	"94°51'38.16\"W, 38°59'9.24\"N"	66227	7825 Gleason Rd, Shawnee, KS 66227
33.608786	1385055371	-117.7114158	"default"	"Color-Glide ColorGlidePro.com - paint brush replacement  product"	54	"117°42'41.1\"W, 33°36'31.63\"N"	92653	24001 Calle De Magdalena, Laguna Hills, CA 92653
27.773935	1408723158	-82.6305988	"attraction"	"Saint Petersburg Museum of History"	55	"82°37'50.16\"W, 27°46'26.17\"N"	33701	335 2nd Ave NE, Saint Petersburg, FL 33701
29.5241688	1397232908	-98.5687186	"default"	"Law Office of Michael McLees"	56	"98°34'7.39\"W, 29°31'27.01\"N"	78240	8744 Wurzbach Rd, San Antonio, TX 78240
37.7949855	1409361742	-122.4234775	"shopping"	"Laundry Locker Kiosk"	60	"122°25'24.52\"W, 37°47'41.95\"N"	94109	2101 Van Ness Ave, San Francisco, CA 94109
37.7678512	1420665190	-122.4223164	"shopping"	"Skunk Funk"	65	"122°25'20.34\"W, 37°46'4.26\"N"	94103	318 Valencia St, San Francisco, CA 94103
