lat,postcode,email,created_on,lon,state,phone,updated_on,category,country,fax,name,website,logo_url,name_ascii,facebook,description,id,street,twitter,instagram,city,coins,geolocation_degrees
39.2615749,null,null,1386794770,-121.0165666,"California",null,1433782792,"default","US",null,"SierraHosts.net",null,null,null,null,null,8,null,null,null,null,[],"121°0'59.64\"W, 39°15'41.67\"N"
39.7146512,null,null,1389447527,-104.9362682,"Colorado","1.888.831-1811",1433782793,"default","US",null,"Costa Rica Travel Market LLC",null,null,null,null,null,10,null,null,null,null,[],"104°56'10.57\"W, 39°42'52.74\"N"
42.3626795,null,null,1409879886,-71.0863982,"Massachusetts","617.253.1000",1433782793,"shopping","US",null,"MIT Coop",null,null,null,null,null,12,null,null,null,null,[],"71°5'11.03\"W, 42°21'45.65\"N"
37.7705183,null,null,1385666967,-122.4504132,"California",null,1433782791,"default","US",null,"Deborah Hodgson Vamp Couture",null,null,null,null,null,6,null,null,null,null,[],"122°27'1.49\"W, 37°46'13.87\"N"
40.75256441713878,"46947","info@stack-tech.com",1465956215,-86.34662747383118,"Indiana","(574) 992-8450",1465956215,"shopping","US",null,"Stack-Tech Computer Repair",null,null,"Stack-Tech Computer Repair","StackTech","Computer Repair & IT Services",8226,"Smead Street","StackTech",null,"Logansport",[],"86°20'47.86\"W, 40°45'9.23\"N"
37.9580745,null,null,1399646864,-122.499287,"California",null,1433784341,"cafe","US",null,"Nova Rosti",null,null,null,null,null,3928,null,null,null,null,[],"122°29'57.43\"W, 37°57'29.07\"N"
39.9863889,null,null,1386095442,-83.0055556,"Ohio",null,1433782807,"default","US",null,"Columbus Worship Center",null,null,null,null,null,50,null,null,null,null,[],"83°0'20.0\"W, 39°59'11.0\"N"
41.4047222,null,null,1383436754,-74.325,"New York",null,1433782808,"default","US",null,"Saint John The Evangelist Roman Catholic Church",null,null,null,null,null,51,"Murray Avenue",null,null,null,[],"74°19'30.0\"W, 41°24'17.0\"N"
30.4094827,"70809",null,1385449366,-91.0684555,"Louisiana","225-615-8358",1433782808,"default","US",null,"Dezins Interactive",null,null,null,null,null,52,"Jefferson Hwy",null,null,"Baton Rouge",[],"91°4'6.44\"W, 30°24'34.14\"N"
38.9859,"66227",null,1385566742,-94.8606,"Kansas","+1 913-441-4444",1433782809,"default","US",null,"Mill Creek Community Church",null,null,null,null,null,53,"Gleason Road",null,null,"Shawnee",[],"94°51'38.16\"W, 38°59'9.24\"N"
33.608786,null,null,1385055371,-117.7114158,"California",null,1433782809,"default","US",null,"Color-Glide ColorGlidePro.com - paint brush replacement  product",null,null,null,null,null,54,null,null,null,null,[],"117°42'41.1\"W, 33°36'31.63\"N"
27.773935,"33701",null,1408723158,-82.6305988,"Florida",null,1433782809,"attraction","US",null,"Saint Petersburg Museum of History",null,null,null,null,null,55,"2nd Ave NE",null,null,"St. Petersburg",[],"82°37'50.16\"W, 27°46'26.17\"N"
29.5241688,"78240",null,1397232908,-98.5687186,"Texas","210-595-9999",1433782810,"default","US",null,"Law Office of Michael McLees",null,null,null,null,null,56,"Wurzbach",null,null,"San Antonio",[],"98°34'7.39\"W, 29°31'27.01\"N"
37.7949855,null,null,1409361742,-122.4234775,"California",null,1433782811,"shopping","US",null,"Laundry Locker Kiosk",null,null,null,null,null,60,"Van Ness Avenue",null,null,null,[],"122°25'24.52\"W, 37°47'41.95\"N"
37.7678512,"94103",null,1420665190,-122.4223164,"California","(415) 829-3298",1433782813,"shopping","US",null,"Skunk Funk",null,null,null,null,null,65,"Valencia Street",null,null,"San Francisco",[],"122°25'20.34\"W, 37°46'4.26\"N"
37.7882789,"94115",null,1420762098,-122.4461924,"California","(415) 567-0700",1433782807,"default","US",null,"Pet Camp Cat Safari",null,null,null,null,null,48,"Sacramento Street",null,null,"San Francisco",[],"122°26'46.29\"W, 37°47'17.8\"N"
37.5555738,"94402",null,1420753066,-122.318096,"California","(650) 341-0922",1433782817,"shopping","US",null,"Cyclepath",null,null,null,null,null,73,"S El Camino Real",null,null,"San Mateo",[],"122°19'5.15\"W, 37°33'20.07\"N"
35.2743463,"28206",null,1405452629,-80.8215111,"North Carolina","704-357-6002",1433782818,"default","US",null,"iTek Graphics",null,null,null,null,null,76,"Interstate North Dr",null,null,"Charlotte",[],"80°49'17.44\"W, 35°16'27.65\"N"
28.333289,"32931",null,1401472311,-80.611025,"Florida","321-783-4545",1433782820,"food","US",null,"Saim Orchid Japanese Restaraunt",null,null,null,null,null,79,"North Atlantic Avenue",null,null,"Cocoa Beach",[],"80°36'39.69\"W, 28°19'59.84\"N"
30.2967459,null,null,1397301102,-97.7416594,"Texas","(512)474-2575",1433782821,"food","US",null,"Thai Kitchen",null,null,null,null,null,82,"Guadalupe Street",null,null,null,[],"97°44'29.97\"W, 30°17'48.29\"N"
40.6873932,null,null,1429857148,-73.9692312,"New York",null,1433782821,"shopping","US",null,"Brooklyn Flea",null,null,null,null,null,84,null,null,null,null,[],"73°58'9.23\"W, 40°41'14.62\"N"
32.94998,"92130",null,1392330055,-117.227693,"California",null,1433782826,"default","US",null,"DiegoDev Group",null,null,null,null,null,95,"Via Candidiz",null,null,"San Diego",[],"117°13'39.69\"W, 32°56'59.93\"N"
33.1967248,"92054",null,1386790407,-117.3788832,"California","7606502737",1433782826,"default","US",null,"Ares Armor",null,null,null,null,null,96,"N Freeman St",null,null,"Oceanside",[],"117°22'43.98\"W, 33°11'48.21\"N"
33.164004,"92008",null,1388298618,-117.348439,"California",null,1433782826,"default","US",null,"Heritage Senior Care",null,null,null,null,null,97,"Jefferson St",null,null,"Carlsbad",[],"117°20'54.38\"W, 33°9'50.41\"N"
32.76434,"92110",null,1398989281,-117.188709,"California",null,1433782827,"default","US",null,"Invincible Creative",null,null,null,null,null,98,"Friars Rd #183",null,null,"San Diego",[],"117°11'19.35\"W, 32°45'51.62\"N"
32.7959837,"92109","spinityourself@gmail.com",1386205120,-117.2529544,"California","+1-310-922-7166",1433782827,"default","US",null,"Villalobos SD",null,null,null,null,null,99,"Hornblend St",null,null,"San Diego",[],"117°15'10.64\"W, 32°47'45.54\"N"
32.799441,"92109",null,1413057081,-117.243776,"California",null,1433782828,"default","US",null,"Computer and Ink Store",null,null,null,null,null,101,"Garnet Av",null,null,"San Diego",[],"117°14'37.59\"W, 32°47'57.99\"N"
33.1471342,"92078",null,1386206225,-117.2003136,"California",null,1433782828,"default","US",null,"San Marcos Dental Center",null,null,null,null,null,102,"Rancho Santa Fe Rd",null,null,"San Marcos",[],"117°12'1.13\"W, 33°8'49.68\"N"
39.1922528,null,null,1395401212,-96.6091199,"Kansas","785-539-8888",1433782836,"food","US",null,"Chens Hunam Chinese Restaurant",null,null,null,null,null,124,"Westloop Place",null,null,null,[],"96°36'32.83\"W, 39°11'32.11\"N"
30.5499212,null,null,1397418338,-97.8533226,"Texas","512-528-8892",1433782825,"food","US",null,"Great Wall Express",null,null,null,null,null,94,"South Bagdad Road",null,null,null,[],"97°51'11.96\"W, 30°32'59.72\"N"
27.777371,null,null,1418692590,-82.631548,"Florida","(727) 896-2400",1433782845,"food","US",null,"400 Beach Seafood",null,null,null,null,null,145,"Beach Drive Northeast",null,null,"Saint Petersburg",[],"82°37'53.57\"W, 27°46'38.54\"N"
27.7709052,"33705",null,1408767986,-82.6523574,"Florida","(727) 822-4562",1433782845,"food","US",null,"Ferg's Sports Bar & Grill",null,null,null,null,null,146,"Central Avenue",null,null,"Saint Petersburg",[],"82°39'8.49\"W, 27°46'15.26\"N"
39.3475198,"21220",null,1396080298,-76.4505536,"Maryland","443-559-5900",1433782848,"food","US",null,"Mama Rosa Rotisserie & Grill",null,null,null,null,null,154,"Middle River Road",null,null,"Middle River",[],"76°27'1.99\"W, 39°20'51.07\"N"
40.9076669,null,null,1394677112,-74.5519558,"New Jersey",null,1433782851,"shopping","US",null,"Macy's",null,null,null,null,null,159,null,null,null,null,[],"74°33'7.04\"W, 40°54'27.6\"N"
40.9073762,null,null,1394676758,-74.5552585,"New Jersey",null,1433782851,"shopping","US",null,"Lord & Taylor",null,null,null,null,null,160,null,null,null,null,[],"74°33'18.93\"W, 40°54'26.55\"N"
28.1000502,null,null,1395115329,-82.3995584,"Florida","813-979-0406",1433782853,"food","US",null,"China City",null,null,null,null,null,165,"Tampa Palms Boulevard West",null,null,null,[],"82°23'58.41\"W, 28°6'0.18\"N"
47.6648179,"98105",null,1397057901,-122.2958156,"Washington",null,1433782855,"shopping","US",null,"Counterbalance Bicycles",null,null,null,null,null,171,"NE Blakeley St",null,null,null,[],"122°17'44.94\"W, 47°39'53.34\"N"
